ELAB NOE GDPC PEA
46.05 2.65 165 84.15
47.15 4.55 205 90.35
66.5 8.8 994 63.1
75.3 11.75 4736 55
72.3 11.6 4014 54.05
76.1 11.3 1983 56.9
71 11.2 1508 62.75
66 9.8 973 47.5
69.5 9.75 1660 60.2
69.45 12.55 2433 62.8
47.05 5.05 321 57.5
72.6 10.25 343 66.5
78.05 13.75 8684 50.4
64.5 9.55 726 60.25
78.95 12.65 22898 61.9
69.15 12.45 4325 52.25
65.15 9.95 1019 68.05
62.4 8.25 11308 42.15
74.6 10.95 1779 68.2
72.4 14.5 9736 62.4
76.15 9 15757 57.2
68.4 11.4 1764 60.65
40.7 10.45 142 77.95
76.85 13.4 8793 50.75
46.95 3.4 77 87.35
68.2 9.15 464 58.95
69.75 9.15 1860 55.9
68.4 12.35 2497 42.55
68.4 11 1093 65.85
71.2 13.15 3058 58.6
75.35 14.3 10428 58.1
72.7 11.1 14013 60.25
69.6 11.45 1570 65.05
69.3 11.55 1106 58.75
71.65 8.7 6583 42.85
65.3 13.1 3230 65
78 15.5 14111 50.05
60 11.15 1389 46
73.85 10.7 4083 60.2
69.1 9.65 2814 53.25
75.2 10.05 17690 58.35
76.75 15.8 26037 67.1
72.85 10.45 3496 61.65
